top_1,top_5
0.7578125,0.9375
0.7578125,0.9375
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.1640625,0.2265625
0.171875,0.2421875
0.171875,0.2421875
-1,-1
0.1640625,0.234375
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.75,0.9296875
-1,-1
0.1640625,0.234375
0.7578125,0.9375
-1,-1
0.5234375,0.7578125
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
0.7578125,0.9375
0.1796875,0.25
0.171875,0.2421875
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
-1,-1
-1,-1
0.7578125,0.9375
0.7578125,0.9375
-1,-1
0.1640625,0.2265625
-1,-1
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.171875,0.2421875
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.1640625,0.234375
0.75,0.9296875
-1,-1
-1,-1
0.171875,0.25
0.171875,0.2421875
0.7578125,0.9375
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0.1640625,0.2265625
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
-1,-1
0.1640625,0.234375
-1,-1
-1,-1
0.1640625,0.2265625
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
0.1640625,0.2421875
-1,-1
0.7578125,0.9375
-1,-1
0.7578125,0.9375
-1,-1
0.7578125,0.9375
0.7578125,0.9375
-1,-1
-1,-1
0.1640625,0.2421875
0.1796875,0.25
-1,-1
0.1640625,0.2265625
0.7578125,0.9375
-1,-1
-1,-1
0.171875,0.2421875
0.171875,0.25
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
0.7578125,0.9375
-1,-1
-1,-1
-1,-1
